Severity,Message
Information,=====================================
Information, NetApp Environment Report 
Success,Contents of E:\Scripts\morningReport\inputs.csv are imported successfully
Information,***************************************************************************************************
Information,Executing Health Check for au1111npsc001
Success,"Successfully Executed SQL Query: SELECT id,name FROM ocum_report.cluster WHERE ocum_report.cluster.name=au1111npsc001"
Success,"Successfully Executed SQL Query: SELECT id,name FROM ocum_report.clusternode WHERE ocum_report.clusternode.clusterId=129792809"
Information,Executing Health Check for au1111npsa001
Success,"Successfully Executed SQL Query: SELECT name,uptime,isNodeHealthy,currentMode,giveBackState FROM ocum_report.clusternode WHERE ocum_report.clusternode.name=au1111npsa001"
Success,Successfully Executed SQL Query: SELECT name FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=129793226 AND ocum_report.aggregate.state NOT LIKE '%online%'
Success,"Successfully Executed SQL Query: SELECT name,sizeUsedPercent FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=129793226 AND ocum_report.aggregate.hasLocalRoot=0"
Information,Checking if any aggregates are above 75% used
Information,Starting Health Checks
Information,Checking if au1111npsa001 is Healthy
Success,au1111npsa001 is Healthy
Information,Checking Uptime of au1111npsa001
Success,au1111npsa001 has an uptime of more than 24 hours
Information,Checking HA Status of au1111npsa001
Success,au1111npsa001 is HA
Information,Updating Capacity Property of au1111npsa001
Error,au1111npsa001 has aggregates where used capcity is > 75%
Information,Completed Health Checks
Information,Starting Performance Checks on au1111npsa001
Success,"Successfully Executed SQL Query: SELECT objid,name FROM node WHERE name LIKE au1111npsa001"
Success,"Successfully Executed SQL Query: SELECT round((avgLatency/1000),2) AS avgLatency FROM sample_node WHERE objid=210 AND (Date_Format(FROM_UNIXTIME(time/1000),'%Y:%m:%d:%H') between '2018:12:13:07' and '2018:12:14:07')"
Information,There are 288 entries in perfavgLatency Array
Information,au1111npsa001 has an average latency of : 0.11 : for last 24 hours
Information,Completed Performance Checks on au1111npsa001
Information,Executing Health Check for au1111npsa002
Success,"Successfully Executed SQL Query: SELECT name,uptime,isNodeHealthy,currentMode,giveBackState FROM ocum_report.clusternode WHERE ocum_report.clusternode.name=au1111npsa002"
Success,Successfully Executed SQL Query: SELECT name FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=129793168 AND ocum_report.aggregate.state NOT LIKE '%online%'
Success,"Successfully Executed SQL Query: SELECT name,sizeUsedPercent FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=129793168 AND ocum_report.aggregate.hasLocalRoot=0"
Information,Checking if any aggregates are above 75% used
Information,Starting Health Checks
Information,Checking if au1111npsa002 is Healthy
Success,au1111npsa002 is Healthy
Information,Checking Uptime of au1111npsa002
Success,au1111npsa002 has an uptime of more than 24 hours
Information,Checking HA Status of au1111npsa002
Success,au1111npsa002 is HA
Information,Updating Capacity Property of au1111npsa002
Error,au1111npsa002 has aggregates where used capcity is > 75%
Information,Completed Health Checks
Information,Starting Performance Checks on au1111npsa002
Success,"Successfully Executed SQL Query: SELECT objid,name FROM node WHERE name LIKE au1111npsa002"
